N.Hemi Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,*******,*******,*******,*******,*******,*******,*******,*******, -0.292, -0.424, -0.347, -0.473,*******,*******,*******,*******,*******, -0.354
2003, -0.094, -0.387, -0.304, -0.311, -0.191, -0.400, -0.267, -0.113, -0.108,  0.276, -1.582, -0.029, -0.293, -0.330, -0.318, -0.269, -0.260, -0.471
2004, -0.043,  0.113, -0.124, -0.298, -0.482, -0.428, -0.270, -0.385, -0.337, -0.370, -0.161, -0.376, -0.263, -0.234,  0.013, -0.301, -0.361, -0.289
2005, -0.064, -0.333, -0.181, -0.070,  0.050, -0.040, -0.030, -0.162,  0.010,  0.022,  0.063, -0.055, -0.066, -0.093, -0.258, -0.067, -0.077,  0.032
2006, -0.172,  0.319, -0.138, -0.268, -0.077, -0.054, -0.180, -0.212, -0.090, -0.043, -0.085,  0.036, -0.080, -0.088,  0.031, -0.161, -0.148, -0.073
2007,  0.290,  0.049, -0.067,  0.122, -0.180, -0.142, -0.096, -0.076, -0.182, -0.035, -0.076, -0.206, -0.050, -0.030,  0.125, -0.042, -0.105, -0.098
2008, -0.553, -0.360,  0.100, -0.272, -0.193, -0.283, -0.256, -0.283, -0.281, -0.135, -0.049, -0.113, -0.223, -0.231, -0.373, -0.122, -0.274, -0.155
2009, -0.083,  0.108, -0.245, -0.271, -0.287, -0.104, -0.069, -0.111,  0.016, -0.153, -0.111, -0.009, -0.110, -0.119, -0.030, -0.268, -0.095, -0.083
2010,  0.013,  0.131,  0.072,  0.122,  0.136,  0.044,  0.101,  0.105, -0.101, -0.066,  0.236, -0.091,  0.058,  0.065,  0.045,  0.110,  0.083,  0.023
2011, -0.150, -0.269, -0.142, -0.073, -0.062, -0.056, -0.022, -0.046, -0.122, -0.028, -0.384, -0.167, -0.127, -0.120, -0.170, -0.093, -0.041, -0.178
2012, -0.257, -0.305, -0.403, -0.009,  0.116,  0.090,  0.025, -0.040,  0.084,  0.029, -0.048, -0.314, -0.086, -0.074, -0.243, -0.098,  0.025,  0.022
2013, -0.005, -0.151, -0.028, -0.269, -0.050, -0.084, -0.182, -0.162, -0.165, -0.140,  0.045,  0.056, -0.095, -0.125, -0.157, -0.116, -0.143, -0.087
2014,  0.090, -0.144, -0.143,  0.109,  0.113,  0.035,  0.097,  0.179,  0.047,  0.064, -0.108,  0.161,  0.042,  0.033,  0.000,  0.026,  0.104,  0.001
2015,  0.147,  0.240,  0.171,  0.023,  0.134,  0.136,  0.116,  0.139,  0.268,  0.315,  0.178,  0.397,  0.189,  0.169,  0.183,  0.109,  0.130,  0.254
2016,  0.507,  0.701,  0.684,  0.517,  0.274,  0.366,  0.286,  0.294,  0.436,  0.149,  0.316,  0.286,  0.402,  0.411,  0.535,  0.492,  0.315,  0.300
2017,  0.423,  0.466,  0.498,  0.190,  0.126,  0.137,  0.211,  0.232,  0.197,  0.045,  0.110,  0.394,  0.253,  0.244,  0.392,  0.271,  0.194,  0.117
2018,  0.210,  0.301,  0.097,  0.021,  0.052,  0.034,  0.063, -0.017,  0.050,  0.333, -0.084,  0.103,  0.097,  0.121,  0.302,  0.057,  0.026,  0.100
2019,  0.248,  0.310,  0.536,  0.323,  0.271,  0.430,  0.363,  0.269,  0.463,  0.454,  0.282,  0.445,  0.366,  0.338,  0.220,  0.377,  0.354,  0.399
2020,  0.397,  0.563,  0.505,  0.364,  0.374,  0.384,  0.357,  0.566,  0.295,  0.356,  0.494,  0.281,  0.411,  0.425,  0.468,  0.414,  0.436,  0.382
2021,  0.395,  0.381,  0.181,  0.197,  0.245,  0.348,  0.258,  0.179,  0.097,  0.037,  0.001, -0.023,  0.191,  0.217,  0.352,  0.208,  0.262,  0.045
2022,  0.111,  0.072,  0.153,  0.324, -0.090,  0.070, -0.019,  0.097,  0.080,  0.648, -0.715, -0.025,  0.059,  0.059,  0.053,  0.129,  0.050,  0.004
2023,  0.155,  0.096,  0.383, -0.121,  0.042,  0.132,  0.366,  0.449,  0.538,  0.579,  0.458,  0.526,  0.300,  0.254,  0.076,  0.102,  0.316,  0.525
2024,  0.387,  0.664,  0.426,  0.520,  0.367,  0.419,  0.301,  0.223,  0.335,*******,*******,*******,*******,*******,  0.526,  0.438,  0.314,*******
N.Hemi Temperature Anomalies (deg C) AIRS v7 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,*******,*******,*******,*******,*******,*******,*******,*******, -0.056, -0.178, -0.122, -0.324,*******,*******,*******,*******,*******, -0.119
2003,  0.033, -0.316, -0.224, -0.187,  0.039, -0.148, -0.045,  0.065,  0.061,  0.447, -1.327,  0.138, -0.122, -0.161, -0.202, -0.124, -0.043, -0.273
2004, -0.016,  0.152,  0.006, -0.156, -0.326, -0.267, -0.155, -0.308, -0.189, -0.190, -0.000, -0.298, -0.146, -0.109,  0.091, -0.159, -0.244, -0.126
2005,  0.042, -0.111,  0.032,  0.047,  0.148,  0.055,  0.014, -0.139,  0.100,  0.098,  0.161,  0.036,  0.040,  0.013, -0.122,  0.076, -0.023,  0.120
2006, -0.183,  0.313, -0.039, -0.244, -0.008, -0.027, -0.157, -0.170, -0.026, -0.004, -0.037,  0.127, -0.038, -0.045,  0.055, -0.097, -0.118, -0.022
2007,  0.356,  0.124,  0.017,  0.123, -0.133, -0.154, -0.094, -0.092, -0.185, -0.007, -0.020, -0.122, -0.016,  0.005,  0.202,  0.002, -0.113, -0.070
2008, -0.621, -0.363,  0.225, -0.241, -0.197, -0.283, -0.263, -0.261, -0.285, -0.115, -0.016, -0.123, -0.212, -0.212, -0.369, -0.071, -0.269, -0.138
2009, -0.041, -0.021, -1.091, -0.320, -0.284, -0.125, -0.057, -0.096,  0.030, -0.155, -0.139, -0.046, -0.195, -0.202, -0.062, -0.565, -0.093, -0.088
